Ticker,Date/Time,Open,High,Low,Close,Volume
SHG,6/5/2015 00:00:00,13.4,13.4,9.6,9.6,1100
SHG,6/22/2015 00:00:00,10.8,10.8,10.8,10.8,1000
SHG,7/10/2015 00:00:00,9.2,9.2,9.2,9.2,100
SHG,7/24/2015 00:00:00,7.9,7.9,7.9,7.9,100
SHG,8/3/2015 00:00:00,6.8,7,6.8,6.8,900
SHG,8/10/2015 00:00:00,7.8,7.8,7.8,7.8,900
SHG,10/15/2015 00:00:00,4.7,4.7,4.7,4.7,900
SHG,10/22/2015 00:00:00,5.4,5.4,5.4,5.4,700
SHG,10/23/2015 00:00:00,5,5,5,5,100
SHG,10/29/2015 00:00:00,5,5,4.5,4.5,7700
SHG,11/6/2015 00:00:00,4.9,4.9,4.9,4.9,500
SHG,11/20/2015 00:00:00,4.9,4.9,4.2,4.2,3900
SHG,11/25/2015 00:00:00,5,5,5,5,100
SHG,11/30/2015 00:00:00,4.3,4.3,4.3,4.3,4500
SHG,12/4/2015 00:00:00,3.7,3.7,3.7,3.7,100
SHG,12/7/2015 00:00:00,3.2,3.2,3.2,3.2,100
SHG,12/28/2015 00:00:00,2.8,2.8,2.8,2.8,2300
SHG,12/29/2015 00:00:00,3.2,3.2,3.2,3.2,3000
SHG,12/30/2015 00:00:00,3.6,3.6,3.6,3.6,1100
SHG,12/31/2015 00:00:00,4.1,4.1,4.1,4.1,100
SHG,1/6/2016 00:00:00,4.7,4.7,4.7,4.7,3500
SHG,1/21/2016 00:00:00,4,4,4,4,100
SHG,3/8/2016 00:00:00,4.1,4.1,4,4,200
SHG,4/7/2016 00:00:00,3.5,3.5,3.5,3.5,6500
SHG,4/8/2016 00:00:00,3,3.5,3,3.5,13600
SHG,4/11/2016 00:00:00,2.6,3,2.6,2.6,11100
SHG,4/12/2016 00:00:00,2.3,2.4,2.3,2.3,68100
SHG,4/13/2016 00:00:00,2,2.6,2,2.6,903600
SHG,4/14/2016 00:00:00,2.3,2.3,2.3,2.3,100
SHG,4/15/2016 00:00:00,2.6,2.6,2.6,2.6,900
SHG,4/19/2016 00:00:00,2.9,2.9,2.9,2.9,37600
SHG,4/20/2016 00:00:00,3.2,3.3,3,3.3,514300
SHG,4/21/2016 00:00:00,3.6,3.7,3.6,3.7,53700
SHG,4/22/2016 00:00:00,4.1,4.2,4,4.2,210400
SHG,4/25/2016 00:00:00,3.6,4.2,3.6,3.6,148800
SHG,4/26/2016 00:00:00,3.2,3.5,3.2,3.2,97500
SHG,4/27/2016 00:00:00,2.8,3.5,2.8,3.4,28200
SHG,4/28/2016 00:00:00,3.4,3.5,3.2,3.5,46300
SHG,4/29/2016 00:00:00,3.1,3.7,3,3.3,50600
SHG,5/4/2016 00:00:00,3.4,3.4,3,3.2,76400
SHG,5/5/2016 00:00:00,2.9,3.2,2.9,3.1,78300
SHG,5/6/2016 00:00:00,3,3,2.6,2.8,93200
SHG,5/9/2016 00:00:00,2.9,2.9,2.6,2.8,14300
SHG,5/10/2016 00:00:00,3,3,2.9,2.9,33200
SHG,5/11/2016 00:00:00,2.9,3,2.9,3,59900
SHG,5/12/2016 00:00:00,2.9,3,2.7,3,38200
SHG,5/13/2016 00:00:00,2.9,2.9,2.7,2.8,50700
SHG,5/16/2016 00:00:00,2.7,2.8,2.5,2.6,16700
SHG,5/17/2016 00:00:00,2.7,2.7,2.6,2.6,66000
SHG,5/18/2016 00:00:00,2.6,2.7,2.5,2.7,23800
SHG,5/19/2016 00:00:00,2.7,2.9,2.7,2.9,35900
SHG,5/20/2016 00:00:00,3.1,3.2,3.1,3.2,38100
SHG,5/23/2016 00:00:00,3.6,3.6,3.2,3.4,49500
SHG,5/24/2016 00:00:00,3.3,3.3,3,3,21500
SHG,5/25/2016 00:00:00,3,3.1,2.9,2.9,11700
SHG,5/26/2016 00:00:00,2.8,3,2.8,2.9,10700
SHG,5/27/2016 00:00:00,3.1,3.1,2.7,2.8,12400
SHG,5/30/2016 00:00:00,3.1,3.1,2.9,3,24900
SHG,5/31/2016 00:00:00,3.1,3.1,2.9,2.9,56800
SHG,6/1/2016 00:00:00,3,3,2.9,2.9,16600
SHG,6/2/2016 00:00:00,2.9,2.9,2.8,2.8,36200
SHG,6/3/2016 00:00:00,2.8,3,2.8,2.9,29400
SHG,6/6/2016 00:00:00,3,3,2.8,2.8,10600
SHG,6/7/2016 00:00:00,2.9,2.9,2.8,2.9,15300
SHG,6/8/2016 00:00:00,2.8,2.9,2.8,2.9,9100
SHG,6/9/2016 00:00:00,2.8,2.8,2.8,2.8,13000
SHG,6/10/2016 00:00:00,2.8,2.8,2.5,2.8,90100
SHG,6/13/2016 00:00:00,2.7,2.9,2.7,2.9,15500
SHG,6/14/2016 00:00:00,2.8,2.8,2.8,2.8,21200
SHG,6/15/2016 00:00:00,2.8,2.8,2.6,2.7,51200
SHG,6/16/2016 00:00:00,2.7,2.7,2.7,2.7,20800
SHG,6/17/2016 00:00:00,2.7,2.8,2.6,2.8,10500
SHG,6/20/2016 00:00:00,2.8,2.8,2.6,2.8,12900
SHG,6/21/2016 00:00:00,2.7,2.7,2.7,2.7,24000
SHG,6/22/2016 00:00:00,2.7,2.7,2.7,2.7,13200
SHG,6/23/2016 00:00:00,2.7,2.7,2.7,2.7,17300
SHG,6/24/2016 00:00:00,2.7,2.7,2.5,2.5,39500
SHG,6/27/2016 00:00:00,2.4,2.6,2.4,2.5,13200
SHG,6/28/2016 00:00:00,2.9,2.9,2.7,2.7,200
SHG,6/29/2016 00:00:00,2.8,2.8,2.8,2.8,8000
SHG,6/30/2016 00:00:00,2.9,2.9,2.8,2.8,2300
SHG,7/4/2016 00:00:00,2.6,2.6,2.6,2.6,200
SHG,7/5/2016 00:00:00,2.6,2.6,2.5,2.6,17900
SHG,7/6/2016 00:00:00,2.7,2.7,2.5,2.7,6900
SHG,7/7/2016 00:00:00,2.6,2.8,2.5,2.8,39800
SHG,7/8/2016 00:00:00,2.7,2.8,2.6,2.6,12700
SHG,7/11/2016 00:00:00,2.6,2.6,2.5,2.6,42100
SHG,7/12/2016 00:00:00,2.5,2.5,2.5,2.5,1400
SHG,7/13/2016 00:00:00,2.4,2.5,2.4,2.5,10100
SHG,7/14/2016 00:00:00,2.6,2.6,2.6,2.6,200
SHG,7/18/2016 00:00:00,2.4,2.4,2.3,2.3,20700
SHG,7/19/2016 00:00:00,2.7,2.7,2.7,2.7,100
SHG,7/20/2016 00:00:00,2.3,2.8,2.3,2.6,10600
SHG,7/21/2016 00:00:00,2.7,2.7,2.6,2.6,20400
SHG,7/22/2016 00:00:00,2.7,2.7,2.5,2.5,26400
SHG,7/25/2016 00:00:00,2.8,2.8,2.6,2.6,10100
SHG,7/26/2016 00:00:00,2.7,2.7,2.6,2.6,2100
SHG,7/27/2016 00:00:00,2.7,2.7,2.6,2.6,10100
SHG,7/28/2016 00:00:00,2.5,2.5,2.5,2.5,3400
SHG,7/29/2016 00:00:00,2.6,2.6,2.5,2.5,1900
SHG,8/1/2016 00:00:00,2.7,2.7,2.5,2.5,13100
SHG,8/2/2016 00:00:00,2.7,2.7,2.5,2.5,6200
SHG,8/3/2016 00:00:00,2.7,2.7,2.7,2.7,100
SHG,8/5/2016 00:00:00,2.6,2.6,2.6,2.6,1000
SHG,8/8/2016 00:00:00,2.5,2.5,2.5,2.5,1700
SHG,8/9/2016 00:00:00,2.3,2.3,2.3,2.3,400
SHG,8/10/2016 00:00:00,2.5,2.6,2.5,2.6,1100
SHG,8/11/2016 00:00:00,2.4,2.5,2.4,2.5,5900
SHG,8/12/2016 00:00:00,2.7,2.7,2.7,2.7,200
SHG,8/15/2016 00:00:00,2.3,2.5,2.3,2.3,36100
SHG,8/16/2016 00:00:00,2.2,2.5,2.2,2.3,5900
SHG,8/17/2016 00:00:00,2.5,2.5,2.5,2.5,100
SHG,8/19/2016 00:00:00,2.2,2.6,2.2,2.2,6900
SHG,8/23/2016 00:00:00,2,2.3,2,2.3,6000
SHG,8/24/2016 00:00:00,2.2,2.2,2.2,2.2,5000
SHG,8/25/2016 00:00:00,2.1,2.1,2.1,2.1,4300
